ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
1	0	03 Read Holding Registers (4x)	4	MODBUS_SERIALNUMBER	32 Bit Unsigned Integer LO_HI	serial numbler
2	4	03 Read Holding Registers (4x)	2	MODBUS_FIRMWARE_VERSION	16 Bit Unsigned Integer	firmware Version
3	6	03_06 Read Holding and Write Single	1	MODBUS_ADDRESS	8 Bit Unsigned Integer	Modbus device address
4	7	03 Read Holding Registers (4x)	1	MODBUS_PRODUCT_MODEL	16 Bit Unsigned Integer	Prodouct model
5	8	03 Read Holding Registers (4x)	1	MODBUS_HARDWARE_REV	16 Bit Unsigned Integer	Hardware Version Number
6	100	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE0_HI	16 Bit Unsigned Integer	analog input 0 high byte
7	101	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE0_LO	16 Bit Unsigned Integer	analog input 0 low byte
8	102	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE1_HI	16 Bit Unsigned Integer	analog input 1 high byte
9	103	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE1_LO	16 Bit Unsigned Integer	analog input 1 low byte
10	104	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE2_HI	16 Bit Unsigned Integer	analog input 2 high byte
11	105	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE2_LO	16 Bit Unsigned Integer	analog input 2 low byte
12	106	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE3_HI	16 Bit Unsigned Integer	analog input 3 high byte
13	107	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE3_LO	16 Bit Unsigned Integer	analog input 3 low byte
14	108	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE4_HI	16 Bit Unsigned Integer	analog input 4 high byte
15	109	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE4_LO	16 Bit Unsigned Integer	analog input 4 low byte
16	110	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE5_HI	16 Bit Unsigned Integer	analog input 5 high byte
17	111	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE5_LO	16 Bit Unsigned Integer	analog input 5 low byte
18	112	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE6_HI	16 Bit Unsigned Integer	analog input 6 high byte
19	113	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE6_LO	16 Bit Unsigned Integer	analog input 6 low byte
20	114	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE7_HI	16 Bit Unsigned Integer	analog input 7 high byte
21	115	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE7_LO	16 Bit Unsigned Integer	analog input 7 low byte
22	116	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE8_HI	16 Bit Unsigned Integer	analog input 8 high byte
