ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
1	0	03 Read Holding Registers (4x)	4	MODBUS_SERIALNUMBER	32 Bit Unsigned Integer LO_HI	serial numbler
2	4	03 Read Holding Registers (4x)	2	MODBUS_FIRMWARE_VERSION	16 Bit Unsigned Integer	firmware Version
3	6	03_06 Read Holding and Write Single	1	MODBUS_ADDRESS	8 Bit Unsigned Integer	Modbus device address
4	7	03 Read Holding Registers (4x)	1	MODBUS_PRODUCT_MODEL	16 Bit Unsigned Integer	Prodouct model
5	8	03 Read Holding Registers (4x)	1	MODBUS_HARDWARE_REV	16 Bit Unsigned Integer	Hardware Version Number
6	30	03_06 Read Holding and Write Single	1	MODBUS_OUTPUT_DEAD_MASTER	16 Bit Unsigned Integer	dead master of outputs
7	100	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE0	16 Bit Signed Integer	analog output1
8	101	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE1	16 Bit Signed Integer	analog output2
9	102	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE2	16 Bit Signed Integer	analog output3
10	103	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE3	16 Bit Signed Integer	analog output4
11	104	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE4	16 Bit Signed Integer	analog output5
12	105	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE5	16 Bit Signed Integer	analog output6
13	106	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE6	16 Bit Signed Integer	analog output7
14	107	03_06 Read Holding and Write Single	1	MODBUS_AO_CHANNLE7	16 Bit Signed Integer	analog output8
15	108	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE0	16 Bit Unsigned Integer	digit output1
16	109	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE1	16 Bit Unsigned Integer	digit output2
17	110	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE2	16 Bit Unsigned Integer	digit output3
18	111	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE3	16 Bit Unsigned Integer	digit output4
19	112	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE4	16 Bit Unsigned Integer	digit output5
20	113	03_06 Read Holding and Write Single	1	MODBUS_DO_CHANNLE5	16 Bit Unsigned Integer	digit output6
21	116	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE0	Floating HI_LO/1000	
22	118	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE1	Floating HI_LO/1000	
23	120	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE2	Floating HI_LO/1000	
24	122	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE3	Floating HI_LO/1000	
25	124	03_06 Read Holding and Write Single	2	MODBUS_AI_CHANNLE4	Floating HI_LO/1000	
